question,output
What actions can the Treasurer take to enforce tax claims in Pittsburgh?,"obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachmen ts, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances. the treasurer may enter into a written agreement with the taxpayer for payment of the tax in installments if the treasurer believes that such an agreement will faci litate collection. the treasurer may also impose interest and applicable penalties on the tax due, and may seek criminal charges in appropriate circumstances. see, local tax enabling act, 53 p. s. § 6924. 702. once it has been determined that that a taxpayer owes a tax, the treasurer will take all actions legally permitted to enforce its claim. such action may include obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachments, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances"
What recourse does a taxpayer have if they disagree with a tax assessment?,reason or reasons
How can a taxpayer who has ceased operations during a tax year receive a refund?,file a written request with the department of finance for a refund or a credit of the tax
How is a tax refund calculated for a business that discontinues service during a tax year?,
What is the purpose of the severability clause in Pittsburgh's tax regulations?,
What is the Local Services Tax (LST) in Pittsburgh?,a weekly tax of $ 1 per employee
What are the three purposes for which the Local Services Tax funds can be used?,
What is the annual amount of the Local Services Tax in Pittsburgh?,"what is the annual amount of the local services tax in pittsburgh? miscellaneous revenues include american rescue plan transfers, proceeds from the sale of public property, and scrap metal. city of pittsburgh operating budget fiscal year 2024 revenue four major tax revenues comprise 58 % of the 2024 budget 21. 3 % earned income tax 19. 1 % payroll preparation tax four main non - tax revenues comprise 15 % of the 2024 budget 84. 7 % intergovernmental 5. 9 % charges for services 5. 8 % licenses & permits 2. 4 % city of pittsburgh operating budget fiscal year 2024 revenue 41 - tax revenue $ 541, 835, 678 $ 554, 840, 720 $ 568, 023, 571 $ 581, 881, 122 $ 594, 304, 580 41101 - real estate - current year 149, 899, 507 151, 384, 288 152, 884, 374 154, 399, 929 155, 931, 118 41105 - real estate - prior year 1, 745, 830 1, 271, 546 936, 521 697, 283 524, 622 41108 - p / i - real estate taxes 192, 041 139, 870 103, 017 76, 701 57, 708 41201"
How is the Local Services Tax prorated for payroll periods?,by dividing the rate of the local services tax levied for the calendar year by the number of payroll periods established by the employer for the calendar year
Who is responsible for collecting the Local Services Tax?,the director holds principal responsibility for tax administration in the city. the deputy director of finance
When are employers required to remit the Local Services Tax to the City?,within thirty ( 30 ) days after the end of each quarter of a calendar year
What is the income threshold for exemption from the Local Services Tax?,
What documentation must an employee provide when filing for a low-income exemption from the LST?,
Which veterans are exempt from paying the Local Services Tax?,disabled
What military personnel are exempt from the Local Services Tax?,"honorably discha rged veterans who served in any war or armed conflict who are blind, paraplegic, or a double or quadruple amputee as a result of military service or who are 100 % disabled from a service - connected disability"
"What happens if an employee who filed an exemption certificate later exceeds the $12,000 income threshold?","he will earn $ 12, 000 because he is working more hours than anticipated"
How should an employer handle LST collection if an employee has multiple jobs?,
What determines which municipality has priority to collect LST when a person is employed in multiple municipalities?,where the taxpayer maintains his principal office or is principally employed
What information must employers provide with their fourth quarter LST payment?,
What is the penalty for employers who fail to remit the LST by the due date?,"pay a fine of not more than one thousand dollars ( $ 1, 000 ) or to a term - 15 - of imprisonment of not more than one year, or both"
What is the interest rate charged on unpaid LST?,
Who is liable if an employer fails to withhold the LST?,employers are relieved of liability for the tax if they fail to withhold the tax due to incorrect information provided by the taxpayer
