question,output,correct_answer
Are movie theaters considered Performing Arts for tax purposes?,not considered a performing art,"No, movie theaters are not considered Performing Arts for tax purposes because they are not live performances."
Are home builders' shows and trade exhibitions subject to the Amusement Tax?,,"Yes, home builders' shows, trade shows, and similar exhibitions are subject to the Amusement Tax."
How is the Amusement Tax calculated for a bar with a cover charge?,"the cover charge shall be imputed per the city code. d. tax on boxes or other seating – for persons having the permanent use or lease of boxes or seats in any place of amusement, the tax imposed shall be computed on the price or rental charged for boxes or seats in the place of 12 amusement","For a bar with a cover charge of $10.00 (tax included), the Amusement Tax would be $10.00 x 0.04762 = $0.48."
How is the Amusement Tax calculated for a bar with entertainment but no cover charge?,how is it calculated? a. – the amusement tax is owed,"For a bar with entertainment but no cover charge, the Amusement Tax is calculated as 5% of 10% of the total food and drink sales during the time of entertainment."
What is the time limit for the Treasurer to assess unpaid taxes when a return has been filed?,three ( 3 ) years,"The time limit for the Treasurer to assess unpaid taxes when a return has been filed is three years after the return was due or filed, whichever is later."
What is the time limit for the Treasurer to assess unpaid taxes when no return has been filed?,,There is no time limit for the Treasurer to assess unpaid taxes when no return has been filed.
What is the penalty rate for late payment of the Amusement Tax?,,The penalty rate for late payment of the Amusement Tax is five (5%) percent per month or fraction of a month.
What is the interest rate charged for late payment of the Amusement Tax?,,The interest rate for late payment of the Amusement Tax is one (1%) percent per month or fraction of a month.
What actions can the Treasurer take to enforce collection of unpaid taxes?,"obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachmen ts, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances","The Treasurer can sue in the name of the City of Pittsburgh, obtain liens on property, wage attachments, levies, seizures and sales of property, and enter into payment installment agreements."
What records are Producers required to keep and for how long?,section 403 – records to be kept by the producer producers who collect the amusement tax,"Producers are required to keep all records necessary for filing accurate returns for a period of not less than three years from the filing date or due date, whichever is later."
What violations related to the Amusement Tax can result in fines and penalties?,,"Violations include failing to file returns, refusing to permit examination of books and records, making false returns, divulging confidential information, and failing to make payments when due."
Who is liable for the Amusement Tax on free admissions?,patron,"The tax for free admissions is computed on the established price charged to other persons for the same or similar accommodations, to be paid by the person admitted free."
Are admissions for children under twelve years of age exempt from the Amusement Tax?,shall not be required to pay the tax imposed by this chapter. 3,"Yes, children under twelve years of age who are admitted free of charge are exempt from the Amusement Tax."
Are disabled veterans exempt from the Amusement Tax?,"shall not be required to pay the tax imposed by this chapter. however, the patron must participate in this health related activity to qualify for the exemption. the term amusements shall not include membership dues, fees or assessments of charitable, religious, beneficial or nonprofit organizations paid by patrons, such as sportsmen, recreational, golf or tennis clubs. local tax enabling act, 53 p. s. § 6924. 301. 1 ( f ). 5. the term amusement shall not include any activity that the city is prohibited from taxing by reason of the u s constitution, federal law, or laws of the commonwealth. should any producer claim that any amusement is exempt from the tax under this su bsection, the producer shall note the exemption on its filed return and provide a reference to the exempt performing arts production – a performing arts event where the producer is an institution of purely public charity and the proceeds, n et of reasonable expense s, inure exclusively to the institu tions of purely public charity. this exemption began in 2008. this exemption may expire, if the nonresident sports faci lity usage fee, imposed under title two, article x, chapter 271 of the code and the local tax enabling act, 53 p. s.","Yes, disabled veterans who are admitted free of charge are exempt from the Amusement Tax."
Are members of the armed services on active duty exempt from the Amusement Tax?,,"Yes, members of the armed services on active duty and in uniform who are admitted free of charge are exempt from the Amusement Tax."
How is the Amusement Tax calculated for season tickets?,,"For season tickets, the Producer must collect the tax imposed and remit it at the time the reservation of the seating is made by the patron, in advance of the season's amusement."
Is the information gained during tax investigations confidential?,"any information gained by the treasurer, or by any other official or agent of the city, as a result of any declarations, returns, investigations, hearings, or verifications required or authorized by the code shall be confidential","Yes, any information gained as a result of declarations, returns, investigations, hearings, or verifications is confidential except for official purposes and shall not be released except by proper judicial order or as otherwise provided by law."
