question,output,correct_answer
How is the established price calculated for amusements sponsored by Institutions of Purely Public Charity?,"twenty -five (25%) percent of the total donation, contribution and other monetary charge","For amusements sponsored by Institutions of Purely Public Charity where admission is obtained by donation or contribution, the established price is twenty-five (25%) percent of the total donation or contribution."
Are rental charges for sports equipment subject to the Amusement Tax?,not part of the Established Price and are not subject to Amusement Tax,"No, separately stated charges for the rental of tangible personal property, where such charges reflect market pricing, are not part of the Established Price and are not subject to Amusement Tax."
What types of amusements are exempt from the Amusement Tax?,"sports events, music concerts and movies – and recreational activities","Exempt amusements include private affairs sponsored by nonprofit organizations for members and guests, Exempt Performing Arts Productions, educational lectures without entertainment, bowling alley fees, fitness center memberships, and nonprofit sportsmen, recreational, golf or tennis club dues."
"What is an ""Exempt Performing Arts Production""?",EXEMPT PERFORMING ARTS PRODUCTION,"An ""Exempt Performing Arts Production"" is a Performing Arts event where the Producer is an Institution of Purely Public Charity and the proceeds, net of reasonable expenses, inure exclusively to the Institution of Purely Public Charity."
Are educational lectures subject to the Amusement Tax?,non-profit associations or clubs are not subject to the tax,"Educational lectures are not subject to tax when the primary purpose is to provide scientific, historical, or educational material to the patron with no material entertainment or recreation provided."
Are tasting events subject to the Amusement Tax?,The admission receipts from a tasting event are properly subject to the Amusement Tax,"Tasting events are subject to the Amusement Tax if they primarily showcase commercial products, even without entertainment, unless the Producer collects sales or drink taxes from the patron based on the admission charge."
Are bowling alley fees subject to the Amusement Tax?,not part of the Established Price and are not subject to Amusement Tax,"No, fees paid for the privilege of admission to a bowling alley to engage in games of bowling are not subject to the Amusement Tax."
Are fitness center membership dues subject to the Amusement Tax?,not part of the Established Price and are not subject to Amusement Tax,"No, membership dues, fees, or assessments paid to engage in activities predominantly focused on exercise, fitness, health maintenance, or weight control are not subject to the Amusement Tax."
"What is an ""Institution of Purely Public Charity""?",an organization that qualifies for tax exemption pursuant to “Institutions of Purely Public Charity Ac t”. 10 P.S.  371.,"An ""Institution of Purely Public Charity"" is an organization that qualifies for tax exemption pursuant to the ""Institutions of Purely Public Charity Act"" and generally shows that it has a Pennsylvania sales tax exemption."
"Who is considered a ""patron"" according to the tax regulations?","TREASURER, CITY OF PITTSBURGH","A ""patron"" is anyone participating in the privilege of engaging in an amusement."
"What are ""Performing Arts"" as defined by the tax regulations?","Artistic performances of live concerts, dance, ballet, opera, traditional forms of drama, including both comedy and tragedy","""Performing Arts"" are defined as artistic performances of live concerts, dance, ballet, opera, traditional forms of drama, and dramatic recitation of recognized works of literary art associated with traditional and contemporary American Theater."
"Who is considered a ""Responsible Person"" regarding the Amusement Tax?",iv) who has check signing authority or control over financial accounts of the Producer,"A ""Responsible Person"" is any natural person with check signing authority, control over financial accounts, job duties including tax collection/remittance, power to make payment decisions, and who willfully fails to remit the proper tax."
What permit is required before conducting any form of amusement in Pittsburgh?,"a form prescribed, prepared and furnished by the City",An Amusement Tax Permit is required before conducting any form of amusement in Pittsburgh.
Where must a Producer apply for an Amusement Tax Permit?,"City Code Title Seven, Article IX, Chapter 771",A Producer must apply for an Amusement Tax Permit at the Bureau of Building Inspection - City Licensing and Permits Office.
What must be conspicuously displayed at places of amusement?,a place at which the established price is paid,Amusement permits must be conspicuously displayed at the places for which they are issued.
How often must Producers of permanent amusements file tax reports?,promptly after each performance with the Treasurer or his/her duly authorized agent,Producers of permanent amusements must file tax reports monthly.
When are tax reports due for permanent amusements?,d. MONTHLY REPORT,Tax reports for permanent amusements are due on or before the fifteenth day of the month following the reporting month.
How often must Producers of temporary amusements file tax reports?,promptly after each performance with the Treasurer or his/her duly authorized agent,Producers of temporary amusements must file reports promptly after each performance.
How is the Amusement Tax calculated when it's included in the total admission charge?,The Amusement Tax is deemed included in the Established Price charged the patron,"When the Amusement Tax is included in the total admission charge, it is calculated using the formula: Tax = 0.04762 x Total Admission Charge (where Total Admission Charge includes the tax)."
What records must amusement Producers maintain?,record of such admission and the date upon which such privilege was exercised,"Producers must maintain complete and accurate records of all transactions, the total amount of consideration received, and the total amount of tax collected, including monthly summaries of ticket sales and numbers."
What information must be printed on tickets for amusements?,"a record of tickets, leases, and contracts that are to be used","Tickets must clearly print the established price of admission, the amount of amusement tax due, and the sum of these two amounts."
What signs must be posted at places of amusement?,"the entrance, and near the box-office a place at which the established price is paid","Places of amusement must post signs at the entrance and near the box office stating the established price of admission, the amount of amusement tax due, and the sum total of the established price and tax."
Are movie theaters considered Performing Arts for tax purposes?,A. – No. Admissions to a movie theater are not considered an Performing Art because it is not ...,"No, movie theaters are not considered Performing Arts for tax purposes because they are not live performances."
Are home builders' shows and trade exhibitions subject to the Amusement Tax?,A.– The admission receipts from a home builders’ show are properly subject to the Amusement Tax,"Yes, home builders' shows, trade shows, and similar exhibitions are subject to the Amusement Tax."
How is the Amusement Tax calculated for a bar with a cover charge?,A. - $10.00 cover charge X .04762 = $0.48 Amusement Tax,"For a bar with a cover charge of $10.00 (tax included), the Amusement Tax would be $10.00 x 0.04762 = $0.48."
How is the Amusement Tax calculated for a bar with entertainment but no cover charge?,A. - $10.00 cover charge X .04762 = $0.48 Amusement Tax.,"For a bar with entertainment but no cover charge, the Amusement Tax is calculated as 5% of 10% of the total food and drink sales during the time of entertainment."
